CANDIDATE,MEAN,STDEV,90% UPPER BOUND,90% LOWER BOUND,No. of Std. Dev.,,,,,,,,,,,
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0014,,439,11/1/20 17:17,40000,439,24584,84604519,4737853064
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00195,,438,11/1/20 17:17,40000,0,34164,0,6554158416
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001625,,437,11/1/20 17:17,40000,0,28405,0,5424474445
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001825,,436,11/1/20 17:17,40000,0,31828,0,6050375488
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0022,,435,11/1/20 17:17,40000,0,38280,0,7243533000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0024,,434,11/1/20 17:17,40000,0,41664,0,7847664384
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001075,,433,11/1/20 17:17,40000,0,18619,0,3490857691
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0021,,432,11/1/20 17:17,40000,0,36288,0,6772211712
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.002275,,431,11/1/20 17:17,40000,0,39221,0,7285732181
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00175,,430,11/1/20 17:17,40000,0,30100,0,5565490000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.003175,,429,11/1/20 17:17,40000,0,54483,0,10027105803
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.003825,,428,11/1/20 17:17,40000,428,65484,78402752,11995621056
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0028,,427,11/1/20 17:17,40000,0,47824,0,8719702096
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00335,,426,11/1/20 17:17,40000,0,57084,0,10359375984
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.005175,,425,11/1/20 17:17,40000,0,87975,0,15890484375
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0021,,424,11/1/20 17:17,40000,0,35616,0,6402902016
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00365,,423,11/1/20 17:17,40000,0,61758,0,11050297182
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00635,,422,11/1/20 17:17,40000,0,107188,0,19088467792
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0024,,421,11/1/20 17:17,40000,0,40416,0,7163372256
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001825,,420,11/1/20 17:17,40000,0,30660,0,5408424000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.011925,,419,11/1/20 17:17,40000,419,199863,73560059,35088148143
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.002575,,418,11/1/20 17:17,40000,0,43054,0,7522567096
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.001975,,417,11/1/20 17:17,40000,417,32943,72511713,5728425327
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.02165,,416,11/1/20 17:17,40000,0,360256,0,62344462336
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0036,,415,11/1/20 17:17,40000,0,59760,0,10292166000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00185,,414,11/1/20 17:17,40000,0,30636,0,5250887856
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0465,,413,11/1/20 17:17,40000,0,768180,0,1.31028E+11
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.01265,,412,11/1/20 17:17,40000,0,208472,0,35386871168
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001425,,411,11/1/20 17:17,40000,0,23427,0,3957312267
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.004625,,410,11/1/20 17:17,40000,0,75850,0,12750385000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0021,,409,11/1/20 17:17,40000,409,34356,68417929,5747106036
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000975,,408,11/1/20 17:17,40000,0,15912,0,2648775168
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0201,,407,11/1/20 17:17,40000,0,327228,0,54204990972
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.013825,,406,11/1/20 17:17,40000,0,224518,0,37008649048
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.001425,,405,11/1/20 17:17,40000,405,23085,66430125,3786517125
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0017,,404,11/1/20 17:17,40000,0,27472,0,4483869952
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.002175,,403,11/1/20 17:17,40000,0,35061,0,5694221949
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001925,,402,11/1/20 17:17,40000,0,30954,0,5002290216
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.002,,401,11/1/20 17:17,40000,0,32080,0,5158496080
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.003225,,400,11/1/20 17:17,40000,400,51600,64000000,8256000000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0011,,399,11/1/20 17:17,40000,0,17556,0,2794932756
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00235,,398,11/1/20 17:17,40000,0,37412,0,5926210448
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0055,,397,11/1/20 17:17,40000,397,87340,62570773,13765570060
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00245,,396,11/1/20 17:17,40000,0,38808,0,6085715328
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0044,,395,11/1/20 17:17,40000,395,69520,61629875,10846858000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00545,,394,11/1/20 17:17,40000,0,85892,0,13333530512
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001025,,393,11/1/20 17:17,40000,0,16113,0,2488636737
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0022,,392,11/1/20 17:17,40000,0,34496,0,5300793344
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0051,,391,11/1/20 17:17,40000,391,79764,59776471,12194400084
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00225,,390,11/1/20 17:17,40000,0,35100,0,5338710000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0065,,389,11/1/20 17:17,40000,0,101140,0,15304605940
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.013125,,388,11/1/20 17:17,40000,0,203700,0,30665812800
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.003275,,387,11/1/20 17:17,40000,387,50697,57960603,7592838993
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0027,,386,11/1/20 17:17,40000,386,41688,57512456,6211345248
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00175,,385,11/1/20 17:17,40000,0,26950,0,3994663750
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0028,,384,11/1/20 17:17,40000,384,43008,56623104,6341787648
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.001575,,383,11/1/20 17:17,40000,383,24129,56181887,3539458881
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0001,0.00265,,382,11/1/20 17:17,40000,1528,40492,222971872,5908754608
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000075,0.004375,,381,11/1/20 17:17,40000,1143,66675,165919023,9678609675
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0018,,380,11/1/20 17:17,40000,0,27360,0,3950784000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.002425,,379,11/1/20 17:17,40000,379,36763,54439939,5280674083
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0104,,378,11/1/20 17:17,40000,378,157248,54010152,22468223232
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0001,0.00315,,377,11/1/20 17:17,40000,1508,47502,214330532,6751411758
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.00255,,376,11/1/20 17:17,40000,376,38352,53157376,5422052352
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00015,0.024675,,375,11/1/20 17:17,40000,2250,370125,316406250,52048828125
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00005,0.00605,,374,11/1/20 17:17,40000,748,90508,104627248,12659897008
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000075,0.00395,,373,11/1/20 17:17,40000,1119,58934,155685351,8199428486
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.005325,,372,11/1/20 17:17,40000,0,79236,0,10964994624
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0023,,371,11/1/20 17:17,40000,0,34132,0,4697962612
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000075,0.00155,,370,11/1/20 17:17,40000,1110,22940,151959000,3140486000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.01855,,369,11/1/20 17:17,40000,0,273798,0,37280609478
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000075,0.0118,,368,11/1/20 17:17,40000,1104,173696,149508096,23522607104
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0027,,367,11/1/20 17:17,40000,367,39636,49430863,5338533204
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00005,0.002,,366,11/1/20 17:17,40000,732,29280,98055792,3922231680
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00005,0.00285,,365,11/1/20 17:17,40000,730,41610,97254250,5543492250
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00455,,364,11/1/20 17:17,40000,0,66248,0,8777595008
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0002,0.003225,,363,11/1/20 17:17,40000,2904,46827,382657176,6170346963
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000175,0.004725,,362,11/1/20 17:17,40000,2534,68418,332065496,8965768392
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.002025,,361,11/1/20 17:17,40000,361,29241,47045881,3810716361
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0037,,360,11/1/20 17:17,40000,360,53280,46656000,6905088000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0001,0.008425,,359,11/1/20 17:17,40000,1436,120983,185073116,15592410023
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0001,0.0066,,358,11/1/20 17:17,40000,1432,94512,183530848,12113035968
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0001,0.00715,,357,11/1/20 17:17,40000,1428,102102,181997172,13012797798
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000175,0.00535,,356,11/1/20 17:17,40000,2492,76184,315826112,9655255424
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0005,0.001425,,355,11/1/20 17:17,40000,7100,20235,894777500,2550115875
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.00305,,354,11/1/20 17:17,40000,354,43188,44361864,5412147408
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00015,0.010175,,353,11/1/20 17:17,40000,2118,143671,263921862,17902699639
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.0049,,352,11/1/20 17:17,40000,352,68992,43614208,8548384768
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0002,0.0109,,351,11/1/20 17:17,40000,2808,153036,345948408,18854188236
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00045,0.017525,,350,11/1/20 17:17,40000,6300,245350,771750000,30055375000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000225,0.00485,,349,11/1/20 17:17,40000,3141,67706,382576941,8246658506
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0002,0.003125,,348,11/1/20 17:17,40000,2784,43500,337153536,5268024000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000075,0.003575,,347,11/1/20 17:17,40000,1041,49621,125345769,5974814989
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00025,0.004775,,346,11/1/20 17:17,40000,3460,66086,414217360,7911551576
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00025,0.0028,,345,11/1/20 17:17,40000,3450,38640,410636250,4599126000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000125,0.004975,,344,11/1/20 17:17,40000,1720,68456,203537920,8100809216
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000325,0.002975,,343,11/1/20 17:17,40000,4459,40817,524596891,4802079233
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0007,0.004325,,342,11/1/20 17:17,40000,9576,59166,1120047264,6920292024
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00035,0.0046,,341,11/1/20 17:17,40000,4774,62744,555125494,7295935064
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000225,0.006675,,340,11/1/20 17:17,40000,3060,90780,353736000,10494168000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000275,0.006725,,339,11/1/20 17:17,40000,3729,91191,428540409,10479760911
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000225,0.0062,,338,11/1/20 17:17,40000,3042,83824,347530248,9576389056
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000425,0.004425,,337,11/1/20 17:17,40000,5729,59649,650636801,6774277281
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0003,0.00425,,336,11/1/20 17:17,40000,4032,57120,455196672,6448619520
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000675,0.012625,,335,11/1/20 17:17,40000,9045,169175,1015075125,18985664375
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000225,0.009725,,334,11/1/20 17:17,40000,3006,129926,335337336,14494024856
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00075,0.005425,,333,11/1/20 17:17,40000,9990,72261,1107781110,8012950029
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000225,0.002425,,332,11/1/20 17:17,40000,2988,32204,329349312,3549653696
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0005,0.00195,,331,11/1/20 17:17,40000,6620,25818,725293820,2828645898
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0003,0.00395,,330,11/1/20 17:17,40000,3960,52140,431244000,5678046000
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00065,0.00485,,329,11/1/20 17:17,40000,8554,63826,925893514,6908590066
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0019,0.0037,,328,11/1/20 17:17,40000,24928,48544,2681853952,5222557696
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000475,0.00335,,327,11/1/20 17:17,40000,6213,43818,664349877,4685414922
2020,President,polls-plus,11/1/20,Trump,Biden,,0.001675,0.003,,326,11/1/20 17:17,40000,21842,39120,2321280392,4157517120
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000475,0.002975,,325,11/1/20 17:17,40000,6175,38675,652234375,4085046875
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00045,0.007525,,324,11/1/20 17:17,40000,5832,97524,612220032,10237679424
2020,President,polls-plus,11/1/20,Trump,Biden,,0.00055,0.005675,,323,11/1/20 17:17,40000,7106,73321,741361874,7649506609
2020,President,polls-plus,11/1/20,Trump,Biden,,0.0018,0.004075,,322,11/1/20 17:17,40000,23184,52486,2403809856,5441958424
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000575,0.003875,,321,11/1/20 17:17,40000,7383,49755,760751703,5126804955
